1,2,3,4,5,6,7,8,9,10,Prg,Total1,Total2,Year,Month,Pass/Fail
1,2,2,0,0,0,0,0,0,0,L,5,0,2022,3,U
0,3,1,3,3,2,0,2,0,0,V,12,2,2022,3,P
2,2,1,0,1,0,0,0,0,0,V,6,0,2022,3,U
2,2,3,3,3,2,1,0,0,0,E,15,1,2022,3,P
1,2,3,1,3,0,0,0,0,0,L,10,0,2022,3,P
2,1,1,3,3,2,0,0,0,0,V,12,0,2022,3,P
2,1,3,3,3,1,0,0,0,0,V,13,0,2022,3,P
2,0,1,0,3,0,0,0,0,0,L,6,0,2022,3,U
2,1,1,1,0,1,0,0,0,0,B,6,0,2022,3,U
3,2,0,1,3,3,3,3,0,0,I,12,6,2022,3,P
3,2,3,2,2,2,1,2,0,0,V,14,3,2022,3,P
3,1,3,3,3,3,0,0,0,0,E,16,0,2022,3,P
0,1,2,0,2,1,0,0,0,0,V,6,0,2022,3,U
3,1,2,0,1,2,0,0,0,0,V,9,0,2022,3,P
3,2,3,3,0,0,0,0,0,0,V,11,0,2022,3,U
2,2,1,3,3,2,0,0,0,0,I,13,0,2022,3,P
3,2,3,3,3,3,0,1,0,0,V,17,1,2022,3,P
3,3,3,3,3,3,3,3,2,0,V,18,8,2022,3,P
1,1,3,3,2,1,0,0,0,0,-,11,0,2022,3,P
0,1,1,3,3,1,0,0,0,0,V,9,0,2022,3,P
0,1,0,0,0,0,0,0,0,0,V,1,0,2022,3,U
1,2,3,3,0,1,0,0,0,0,V,10,0,2022,3,P
0,0,0,0,0,0,0,0,0,0,V,0,0,2022,3,U
2,1,1,1,0,0,0,0,0,0,Bi,5,0,2022,3,U
0,1,3,0,0,0,0,0,0,0,E,4,0,2022,3,U
0,0,0,0,0,0,0,0,0,0,B,0,0,2022,3,U
3,3,3,3,2,1,0,0,0,0,V,15,0,2022,3,P
3,2,3,3,0,1,0,0,0,0,V,12,0,2022,3,P
3,3,3,3,3,3,3,3,0,0,B,18,6,2022,3,P
3,3,3,2,3,1,0,0,0,0,E,15,0,2022,3,P
1,0,1,0,3,0,0,0,0,0,V,5,0,2022,3,U
1,0,0,0,0,0,0,0,0,0,E,1,0,2022,3,U
3,1,3,3,3,2,0,0,0,0,W,15,0,2022,3,P
3,2,1,2,3,1,3,0,0,0,E,12,3,2022,3,P
3,2,1,1,0,2,0,0,0,0,N,9,0,2022,3,P
0,2,1,0,0,1,0,0,0,0,V,4,0,2022,3,U
0,2,3,2,1,1,0,0,0,0,N,9,0,2022,3,P
1,1,2,0,0,2,0,0,0,0,E,6,0,2022,3,U
0,1,3,0,0,2,0,0,0,0,N,6,0,2022,3,U
3,1,3,2,2,2,0,0,0,0,W,13,0,2022,3,P
3,3,3,3,3,3,0,0,0,0,V,18,0,2022,3,P
3,3,3,3,3,3,0,0,0,0,V,18,0,2022,3,P
1,1,3,1,0,2,0,0,0,0,W,8,0,2022,3,U
3,1,3,3,1,1,0,3,0,0,B,12,3,2022,3,P
1,1,3,2,0,0,0,0,0,0,Bi,7,0,2022,3,U
3,2,3,3,3,1,1,1,0,0,K,15,2,2022,3,P
1,0,0,2,0,0,0,0,0,0,E,3,0,2022,3,U
3,2,3,3,3,1,0,0,0,0,Bi,15,0,2022,3,P
1,2,2,0,3,1,0,0,0,0,E,9,0,2022,3,P
2,2,3,0,3,1,0,0,0,0,V,11,0,2022,3,P
